row_id,engagement_score
89198,1.0
89199,1.0
89200,4.0
89201,1.0
89202,4.0
89203,2.0
89204,3.0
89205,2.0
89206,2.0
89207,1.0
89208,1.0
89209,1.0
89210,2.0
89211,2.0
89212,2.0
89213,4.0
89214,2.0
89215,1.0
89216,2.0
89217,2.0
89218,1.0
89219,1.0
89220,3.0
89221,1.0
89222,3.0
89223,2.0
89224,1.0
89225,3.0
89226,1.0
89227,2.0
89228,3.0
89229,1.0
89230,1.0
89231,3.0
89232,2.0
89233,3.0
89234,2.0
89235,2.0
89236,1.0
89237,1.0
89238,1.0
89239,3.0
89240,3.0
89241,1.0
89242,1.0
89243,1.0
89244,2.0
89245,3.0
89246,2.0
89247,2.0
89248,1.0
89249,2.0
89250,1.0
89251,3.0
89252,3.0
89253,4.0
89254,1.0
89255,1.0
89256,3.0
89257,3.0
89258,1.0
89259,2.0
89260,2.0
89261,3.0
89262,2.0
89263,2.0
89264,1.0
89265,2.0
89266,1.0
89267,2.0
89268,3.0
89269,2.0
89270,2.0
89271,2.0
89272,3.0
89273,1.0
89274,1.0
89275,4.0
89276,3.0
89277,2.0
89278,1.0
89279,1.0
89280,2.0
89281,3.0
89282,1.0
89283,1.0
89284,1.0
89285,1.0
89286,1.0
89287,2.0
89288,2.0
89289,2.0
89290,3.0
89291,2.0
89292,2.0
89293,1.0
89294,2.0
89295,3.0
89296,1.0
89297,1.0
89298,2.0
89299,1.0
89300,1.0
89301,1.0
89302,3.0
89303,3.0
89304,1.0
89305,2.0
89306,2.0
89307,2.0
89308,3.0
89309,1.0
89310,1.0
89311,3.0
89312,2.0
89313,2.0
89314,1.0
89315,3.0
89316,3.0
89317,3.0
89318,1.0
89319,1.0
89320,1.0
89321,3.0
89322,2.0
89323,2.0
89324,1.0
89325,2.0
89326,1.0
89327,2.0
89328,2.0
89329,2.0
89330,4.0
89331,2.0
89332,2.0
89333,1.0
89334,2.0
89335,1.0
89336,3.0
89337,3.0
89338,1.0
89339,2.0
89340,1.0
89341,1.0
89342,2.0
89343,2.0
89344,1.0
89345,3.0
89346,2.0
89347,1.0
89348,2.0
89349,2.0
89350,2.0
89351,1.0
89352,2.0
89353,2.0
89354,3.0
89355,1.0
89356,1.0
89357,1.0
89358,3.0
89359,2.0
89360,1.0
89361,1.0
89362,1.0
89363,1.0
89364,1.0
89365,2.0
89366,3.0
89367,1.0
89368,1.0
89369,3.0
89370,3.0
89371,2.0
89372,2.0
89373,3.0
89374,1.0
89375,2.0
89376,2.0
89377,2.0
89378,1.0
89379,2.0
89380,1.0
89381,1.0
89382,1.0
89383,3.0
89384,2.0
89385,2.0
89386,4.0
89387,2.0
89388,1.0
89389,3.0
89390,1.0
89391,2.0
89392,1.0
89393,2.0
89394,2.0
89395,1.0
89396,3.0
89397,3.0
89398,3.0
89399,2.0
89400,3.0
89401,3.0
89402,3.0
89403,1.0
89404,2.0
89405,1.0
89406,1.0
89407,2.0
89408,2.0
89409,1.0
89410,3.0
89411,3.0
89412,4.0
89413,2.0
